amount,code,mktCap,remark,industry,priceLimit,priceHighLimit,qrr,price,daily,name,turnoverRate,id,ffCap,limitStatistic,isNewHigh
[72941839, 002880, 6.824412E9, 60日新高, 生物制品, 3.9737389087677, 31.83, 2.3211426734924316, 30.09, 2022-12-07, 卫光生物, 1.0754289627075195, 4332, 6.824412E9, {"ct":0,"days":0}, true]
[74969770, 000695, 3.2411325940099998E9, 60日新高, 造纸印刷, 2.170868396759033, 15.71, 1.0422866344451904, 14.59, 2022-12-07, 滨海能源, 2.3442492485046387, 4333, 3.2349143360099998E9, {"ct":0,"days":0}, true]
[77738420, 601298, 3.784311244032E10, 60日新高, 航运港口, 0.6908462643623352, 6.37, 1.1546909809112549, 5.83, 2022-12-07, 青岛港, 0.24783501029014587, 4334, 3.143579725E10, {"ct":0,"days":0}, true]
[77999362, 600662, 1.340295193424E10, 60日新高, 铁路公路, 1.2068965435028076, 6.38, 1.523196816444397, 5.87, 2022-12-07, 外服控股, 1.2661336660385132, 4335, 6.18323606117E9, {"ct":0,"days":0}, true]
[78737556, 301012, 3.297E9, 60日新高, 电网设备, 0.12755101919174194, 47.04, 0.871005654335022, 39.25, 2022-12-07, 扬电科技, 4.7596001625061035, 4336, 1.6485E9, {"ct":0,"days":0}, true]
[79839252, 688386, 4.4891E9, 60日新高, 塑料制品, 2.1178343296051025, 75.36, 0.8166359066963196, 64.13, 2022-12-07, 泛亚微透, 2.5986344814300537, 4337, 3.0372922254399996E9, {"ct":0,"days":0}, true]
[81343061, 603580, 2.12997316E9, 60日新高, 塑料制品, -2.043269157409668, 18.3, 0.6288304328918457, 16.3, 2022-12-07, 艾艾精工, 3.7595221996307373, 4338, 2.12997316E9, {"ct":0,"days":0}, true]
[81530635, 603699, 8.60672238E9, 60日新高, 通用设备, 3.141831159591675, 12.25, 1.029376745223999, 11.49, 2022-12-07, 纽威股份, 0.9606948494911194, 4339, 8.60672238E9, {"ct":0,"days":0}, true]
[84066729, 600073, 7.44557200768E9, 60日新高, 食品饮料, 1.01781165599823, 8.65, 0.8729367852210999, 7.94, 2022-12-07, 上海梅林, 1.1340179443359375, 4340, 7.44557200768E9, {"ct":0,"days":0}, true]
[84219690, 600628, 4.86450294784E9, 60日新高, 商业百货, 0.2666666507720947, 8.25, 1.681099772453308, 7.52, 2022-12-07, 新世界, 1.7339897155761719, 4341, 4.864502887679999E9, {"ct":0,"days":0}, true]
[93215781, 600717, 1.24152644616E10, 60日新高, 航运港口, 0.9411764144897461, 4.68, 1.0511589050292969, 4.29, 2022-12-07, 天津港, 0.7521334290504456, 4342, 1.241526445302E10, {"ct":0,"days":0}, true]
[97624277, 600177, 3.0087868928E10, 60日新高, 纺织服装, 0.15408320724964142, 7.14, 1.1448527574539185, 6.5, 2022-12-07, 雅戈尔, 0.3285716474056244, 4343, 2.96776738245E10, {"ct":0,"days":0}, true]
[100033498, 600851, 9.22191309632E9, 60日新高, 化学制药, 5.963939189910889, 7.93, 3.883620262145996, 7.64, 2022-12-07, 海欣股份, 1.78390634059906, 4344, 5.6398946804E9, {"ct":0,"days":0}, true]
[102828067, 301028, 3.90658272E9, 60日新高, 通用设备, 5.9609456062316895, 11.68, 9.302000999450684, 10.31, 2022-12-07, 东亚机械, 9.273490905761719, 4345, 1.114440892E9, {"ct":0,"days":0}, true]
[104226662, 601577, 2.79095830944E10, 60日新高, 银行, -0.9985734820365906, 7.71, 0.9588578939437866, 6.94, 2022-12-07, 长沙银行, 0.7248058915138245, 4346, 1.4349188950380001E10, {"ct":0,"days":0}, true]
[104828949, 301005, 3.020736425E9, 60日新高, 汽车零部, -0.4462752938270569, 34.96, 1.0224114656448364, 29.0, 2022-12-07, 超捷股份, 8.088364601135254, 4347, 1.28565787E9, {"ct":0,"days":0}, true]
[106901422, 600790, 6.65469081312E9, 60日新高, 商业百货, 0.8888888955116272, 4.95, 1.4113543033599854, 4.54, 2022-12-07, 轻纺城, 1.6168991327285767, 4348, 6.65469081312E9, {"ct":0,"days":0}, true]
[107992700, 002627, 4.0229072104E9, 60日新高, 铁路公路, 2.2514071464538574, 5.86, 1.3705337047576904, 5.45, 2022-12-07, 三峡旅游, 2.8698132038116455, 4349, 3.79936103425E9, {"ct":0,"days":0}, true]
