amount,code,limitDays,mktCap,failTimes,industry,priceLimit,limitTimeFirst,limitFund,price,daily,limitTimeLast,name,turnoverRate,id,ffCap,limitStatistic,isRaise
[839296080, 002640, 1, 6.57493440416E9, 6, 贸易行业, 9.895833969116211, 10:08:30, 37388356, 4.22, 2022-12-07, 10:32:45, 跨境通, 13.157134056091309, 1960, 6.533065260599999E9, {"ct":1,"days":1}, true]
[963075552, 603439, 1, 8.25422208016E9, 1, 中药, 10.021905899047852, 11:15:16, 22609286, 20.09, 2022-12-07, 14:29:13, 贵州三力, 30.85881233215332, 1961, 3.26027704184E9, {"ct":2,"days":4}, true]
[979648608, 002875, 1, 4.88453034844E9, 3, 纺织服装, 10.009578704833984, 11:26:24, 37408092, 22.97, 2022-12-07, 14:54:45, 安奈儿, 35.85125732421875, 1962, 2.8132799219E9, {"ct":10,"days":14}, true]
[1374182320, 002528, 5, 9.45754644432E9, 1, 软件开发, 10.041841506958008, 09:49:42, 54752071, 7.89, 2022-12-07, 13:00:27, 英飞拓, 16.93545150756836, 1963, 8.256405690389999E9, {"ct":5,"days":5}, true]
[1405661792, 002458, 1, 1.72269882224E10, 3, 农牧饲渔, 10.019023895263672, 09:49:51, 6519505, 17.35, 2022-12-07, 14:55:12, 益生股份, 12.15137004852295, 1964, 1.1736421085050001E10, {"ct":1,"days":1}, true]
[1449906576, 002423, 3, 2.135905861536E10, 3, 多元金融, 9.964412689208984, 09:30:27, 66316486, 9.27, 2022-12-07, 14:51:42, 中粮资本, 6.9446635246276855, 1965, 2.135905868025E10, {"ct":4,"days":8}, true]
[1579358400, 000650, 1, 1.08075232128E10, 0, 中药, 9.97150993347168, 14:37:24, 34540383, 7.72, 2022-12-07, 14:37:24, 仁和药业, 15.738162994384766, 1966, 1.036270236348E10, {"ct":1,"days":1}, true]
[1611784608, 600221, 1, 6.51558767104E10, 2, 航空机场, 10.112359046936035, 13:16:17, 34471578, 1.96, 2022-12-07, 14:30:44, 海航控股, 2.553175687789917, 1967, 6.443044624576E10, {"ct":2,"days":3}, true]
[1782541472, 600415, 2, 3.0502572062719997E10, 1, 商业百货, 10.099010467529297, 09:25:03, 84437618, 5.56, 2022-12-07, 13:08:57, 小商品城, 5.9444451332092285, 1968, 3.0264270818559998E10, {"ct":2,"days":2}, true]
[2338536896, 000756, 1, 1.805315017472E10, 2, 化学制药, 9.995920181274414, 10:28:27, 191088112, 26.96, 2022-12-07, 10:49, 新华制药, 20.818172454833984, 1969, 1.17635301312E10, {"ct":2,"days":3}, true]
[2620022416, 603000, 1, 1.836552844016E10, 0, 文化传媒, 10.0, 14:53:07, 43319760, 16.61, 2022-12-07, 14:53:07, 人民网, 15.099496841430664, 1970, 1.836552844016E10, {"ct":4,"days":5}, true]
[2631931312, 002424, 1, 1.4521247999999998E10, 1, 中药, 10.053476333618164, 14:37:24, 59022411, 10.29, 2022-12-07, 14:44:18, 贵州百灵, 25.2747802734375, 1971, 1.108904664315E10, {"ct":2,"days":3}, true]
[10712115712, 002603, 1, 8.206504806912E10, 5, 中药, 10.011198043823242, 14:42:54, 76193961, 49.12, 2022-12-07, 14:49:33, 以岭药业, 16.62388801574707, 1972, 6.7588643290399994E10, {"ct":1,"days":1}, true]
